,bibcode,title,first author,arxiv
0,2020ApJS..250...12C,['Artificial Intelligence-Assisted Inversion (AIAI) of Synthetic Type Ia Supernova Spectra'],"Chen, Xingzhuo",arXiv:1911.05209C
1,2020ApJ...898...56M,['The Spectacular Ultraviolet Flash from the Peculiar Type Ia Supernova 2019yvq'],"Miller, A. A.",arXiv:2005.05972M
2,2020MNRAS.497..246G,['AT2018kzr: the merger of an oxygen-neon white dwarf and a neutron star or black hole'],"Gillanders, J. H.",arXiv:2007.12110G
3,2020ApJS..249....8B,['Credit Lost: Two Decades of Software Citation in Astronomy'],"Bouquin, Daina R.",no arxiv
4,2020MNRAS.496.1132T,['Observations of the low-luminosity Type Iax supernova 2019gsc: a fainter clone of SN 2008ha?'],"Tomasella, Lina",arXiv:2002.00393T
5,2020MNRAS.494.5811L,['An asymmetric explosion mechanism may explain the diversity of Si II linewidths in Type Ia supernovae'],"Livneh, Ran",arXiv:1912.04313L
6,2020ApJ...893..143K,['SN 2019ein: New Insights into the Similarities and Diversity among High-velocity Type Ia Supernovae'],"Kawabata, Miho",arXiv:1908.03001K
7,2020ApJ...892L..24S,['The Lowest of the Low: Discovery of SN 2019gsc and the Nature of Faint Iax Supernovae'],"Srivastav, Shubham",arXiv:2001.09722S
8,2020A&A...634A..37M,['Determining the <SUP>56</SUP>Ni distribution of type Ia supernovae from observations within days of explosion'],"Magee, M. R.",arXiv:1912.07603M
9,2020A&A...633A..88V,['Spectral modeling of type II supernovae. II. A machine-learning approach to quantitative spectroscopic analysis'],"Vogl, C.",arXiv:1911.04444V
10,2019ApJ...885L..23M,['SN2018kzr: A Rapidly Declining Transient from the Destruction of a White Dwarf'],"McBrien, Owen R.",arXiv:1909.04545M
11,2019Natur.574..497W,['Identification of strontium in the merger of two neutron stars'],"Watson, Darach",arXiv:1910.10510W
12,2019MNRAS.487.2538J,['Detection of circumstellar helium in Type Iax progenitor systems'],"Jacobson-Galán, Wynn V.",arXiv:1812.11692J
13,2019LRCA....5....1N,['Monte Carlo radiative transfer'],"Noebauer, Ulrich M.",arXiv:1907.09840N
14,2019ApJ...876..148C,['Gray Radiation Hydrodynamics with the FLASH Code for Astrophysical Applications'],"Chatzopoulos, E.",arXiv:1712.10091C
15,2019MNRAS.484.4785M,['Exploring the shell model of high-velocity features of Type Ia supernovae using TARDIS'],"Mulligan, Brian W.",arXiv:1901.08582M
